"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","FetchSize","WriteSize","TCC_HIT[0]","TCC_MISS[0]","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
66,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,192,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1705060,1039042,1763982,1373809,1616924762440156,1616924763047187,1616924765999668,1616924766080400,2952481
67,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,195,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1701015.25,1039016.75,1763577,1374178,1616924766103574,1616924766712148,1616924769655188,1616924769734320,2943040
68,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,198,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1698045.125,1039024.5,1765740,1372100,1616924769756692,1616924770350788,1616924773299268,1616924773301207,2948480
69,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,201,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1700027,1039015.5,1766896,1370870,1616924773595245,1616924774007588,1616924776946308,1616924777025718,2938720
70,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,204,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1702033.75,1039030.5,1768848,1368982,1616924777047228,1616924777664908,1616924780614189,1616924780694645,2949281
71,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,207,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1693308,1039012.0625,1765461,1372320,1616924780714913,1616924781333349,1616924784273029,1616924784350278,2939680
72,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,210,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1704477.5,1039040.6875,1767690,1370190,1616924784373100,1616924784993069,1616924787936909,1616924788038802,2943840
73,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,213,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1698825.1875,1039004.75,1768313,1369454,1616924788062677,1616924788666269,1616924791606910,1616924791608635,2940641
74,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,216,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1699945.25,1039024.8125,1765848,1371913,1616924791894167,1616924792318890,1616924795274730,1616924795282722,2955840
75,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,219,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1701194.4375,1038983.875,1767428,1370370,1616924795564277,1616924795969928,1616924798909928,1616924798990131,2940000
